x,y
82,56
91,57
79,59
89,61
48,54
75,61
86,65
71,62
84,69
67,63
83,73
79,74
75,74
71,72
64,67
67,70
29,84
26,87
29,80
22,87
28,76
18,87
44,55
14,87
28,72
10,85
27,68
7,82
40,57
6,78
36,59
26,64
6,74
8,70
9,67
32,58
26,60
10,63
28,57
12,59
14,55
15,51
25,50
17,47
22,47
29,48
18,43
24,43
33,47
20,39
28,42
22,35
37,46
31,39
24,31
25,27
32,35
41,46
27,23
32,31
29,19
33,27
30,15
34,23
34,13
36,19
37,15
45,46
49,47
53,48
65,44
57,48
69,43
73,42
61,47
77,42
81,42
85,42
89,43
93,45
60,51
56,52
64,51
68,51
94,49
72,51
76,51
52,53
80,52
94,53
