x,y
74.63,33.45
22.17,58.47
79.80,46.77
37.45,60.22
28.68,88.45
13.30,50.75
26.58,45.22
30.40,65.95
14.85,54.55
71.80,65.17
41.45,60.62
8.63,39.12
91.10,46.25
32.05,73.65
76.28,56.17
64.28,56.02
49.35,59.47
67.63,37.22
35.43,85.17
22.58,73.55
7.15,35.27
29.30,29.42
27.20,41.27
87.68,65.10
76.05,45.60
80.25,55.65
95.32,53.12
21.05,69.82
37.60,48.07
11.20,20.77
25.90,57.00
83.05,49.12
17.95,62.17
91.45,63.80
6.30,31.25
57.25,58.62
31.30,49.50
27.33,49.12
25.63,81.05
11.75,46.90
53.28,58.80
18.80,18.40
16.40,58.37
29.70,58.12
83.73,65.42
68.32,43.65
44.90,51.32
6.75,27.22
29.97,25.47
41.20,49.80
36.85,93.00
85.38,35.67
60.32,55.52
61.13,59.67
28.60,33.37
32.00,69.65
94.28,60.95
19.46,66.00
27.90,37.32
33.93,46.50
95.70,57.15
32.68,77.60
78.55,32.72
36.97,88.95
22.80,18.38
23.10,62.45
79.75,65.65
48.68,52.65
83.43,53.12
30.20,92.15
72.30,56.40
29.78,21.50
33.20,94.75
93.38,49.55
45.43,60.22
82.55,32.82
26.78,64.17
24.10,77.30
33.55,59.32
68.30,56.35
33.93,81.45
88.98,42.82
56.38,54.80
75.78,65.73
64.68,61.52
52.47,53.82
27.14,84.76
14.83,19.00
70.90,34.95
65.60,40.70
8.42,23.60
68.10,63.62
87.18,39.25
10.20,43.05
72.13,44.80
26.75,18.85
