x,y
174.625,116.5
122.175,91.475
179.8,103.175
137.45,89.725
128.675,61.5
113.3,99.2
126.575,104.725
130.4,84
114.85,95.4
171.8,84.775
141.45,89.325
108.625,110.825
191.1,103.7
132.05,76.3
176.275,93.775
164.275,93.925
149.35,90.475
167.625,112.725
135.425,64.775
122.575,76.4
107.15,114.675
129.3,120.525
127.2,108.675
187.675,84.85
176.05,104.35
180.25,94.3
195.325,96.825
121.05,80.125
137.6,101.875
111.2,129.175
125.9,92.95
183.05,100.825
117.95,87.775
191.45,86.15
106.3,118.7
157.25,91.325
131.3,100.45
127.325,100.825
125.625,68.9
111.75,103.05
153.275,91.15
118.8,131.55
116.4,91.575
129.7,91.825
183.725,84.525
168.325,106.3
144.9,98.625
106.75,122.725
129.975,124.475
141.2,100.15
136.85,56.95
185.375,114.275
160.325,94.425
161.125,90.275
128.6,116.575
132,80.3
194.275,89
119.462775,83.949029
127.9,112.625
133.925,103.45
195.7,92.8
132.675,72.35
178.55,117.225
136.975,61
122.8,131.575
123.1,87.5
179.75,84.3
148.675,97.3
183.425,96.825
130.2,57.8
172.3,93.55
129.775,128.45
133.2,55.2
193.375,100.4
145.425,89.725
182.55,117.125
126.775,85.775
124.1,72.65
133.55,90.625
168.3,93.6
133.925,68.5
188.975,107.125
156.375,95.15
175.775,84.225
164.675,88.425
152.475,96.125
127.14,65.19
114.825,130.95
170.9,115
165.6,109.25
108.425,126.35
168.1,86.325
187.175,110.7
110.2,106.9
172.125,105.15
126.75,131.1
